SP_ID,stroke_exp,pop,y,Townsend.class,NOx.class,Townsend,NOx,Offset
05CGFC17,2.571820872,1068.96,3,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.617674606
05CGFC18,2.420617683,918.25,0,"(3.11,5.44]","(64.8,82.1]",4,4,-2.577888371
05CGFC19,2.604536806,957.13,3,"(5.44,9.2]","(64.8,82.1]",5,4,-2.564057019
05CGFC20,1.472068731,1193.54,2,"[-6.54,-2.07]","(82.1,243]",1,5,-2.908372917
05CGFC21,0.251063919,540.22,1,"[-6.54,-2.07]","(82.1,243]",1,5,-3.332584472
05CGFC22,2.640057677,695.57,1,"(3.11,5.44]","(64.8,82.1]",4,4,-2.419075913
05CGFC23,1.076426881,519.86,0,"(5.44,9.2]","(64.8,82.1]",5,4,-2.683001681
05CGFC24,0.627928716,705.69,1,"[-6.54,-2.07]","(82.1,243]",1,5,-3.050317008
05CGFC25,1.888240238,861.59,0,"(3.11,5.44]","(82.1,243]",4,5,-2.658290568
05CGFC26,0.26241007,565.19,1,"(-2.07,0.086]","(82.1,243]",2,5,-3.333012288
05CGFC27,0.311300287,831.98,0,"(-2.07,0.086]","(82.1,243]",2,5,-3.426770836
05CGFC29,0.658593337,600.38,0,"(-2.07,0.086]","(82.1,243]",2,5,-2.959332218
05CGFC30,0.75599793,651.38,1,"(0.086,3.11]","(82.1,243]",3,5,-2.934809474
05CGFC31,2.439421363,896.68,3,"(0.086,3.11]","(82.1,243]",3,5,-2.564167551
05CGFC32,1.861836946,639.16,1,"(0.086,3.11]","(82.1,243]",3,5,-2.534401023
05CGFD01,1.435942344,635.3,1,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.644859124
05CGFD02,3.73025411,921.37,5,"(-2.07,0.086]","(82.1,243]",2,5,-2.390933798
05CGFD03,1.286642914,332.1,0,"(0.086,3.11]","(64.8,82.1]",3,4,-2.410125004
05CGFD04,3.126682786,744.69,6,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.375064416
05CGFD05,2.575228914,598.39,0,"(0.086,3.11]","(82.1,243]",3,5,-2.364295426
05CGFD06,1.016690355,155.24,0,"(5.44,9.2]","(82.1,243]",5,5,-2.180961315
05CGFD07,1.094155769,413.79,0,"(3.11,5.44]","(82.1,243]",4,5,-2.576550941
05CGFD08,1.645749929,270.46,0,"(3.11,5.44]","(82.1,243]",4,5,-2.213088442
05CGFD09,1.66620216,863.2,40,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.713544626
05CGFD10,0.315177148,193.49,0,"(0.086,3.11]","(82.1,243]",3,5,-2.787395801
05CGFD11,4.767237825,870.61,28,"(0.086,3.11]","(64.8,82.1]",3,4,-2.259172213
05CGFD12,2.437316666,627.85,3,"(3.11,5.44]","(82.1,243]",4,5,-2.409254726
05CGFD13,5.290596952,1059.7,2,"(-2.07,0.086]","(82.1,243]",2,5,-2.299504593
05CGFD14,2.34112002,1364.6,0,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.764835969
05CGFD15,4.614977071,962.88,17,"(-2.07,0.086]","(41.4,53.6]",2,2,-2.317316089
05CGFD16,3.018965495,1382.04,10,"[-6.54,-2.07]","(53.6,64.8]",1,3,-2.659712741
05CGFD17,0.532297426,259.66,0,"(0.086,3.11]","(64.8,82.1]",3,4,-2.687359479
05CGFD18,1.712947713,613.74,2,"[-6.54,-2.07]","(82.1,243]",1,5,-2.553026512
05CGFD19,3.792343563,628.32,4,"(3.11,5.44]","(82.1,243]",4,5,-2.216644
05CGFD20,2.518559781,1130.15,1,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.651014912
05CGFD21,4.373043705,1137.16,11,"(-2.07,0.086]","(53.6,64.8]",2,3,-2.413364422
05CGFD22,5.115078321,1016.63,19,"(-2.07,0.086]","(53.6,64.8]",2,3,-2.296120006
05CGFD23,2.204568734,791.19,1,"[-6.54,-2.07]","(53.6,64.8]",1,3,-2.55374534
05CGFD24,3.079283564,880.26,1,"[-6.54,-2.07]","(64.8,82.1]",1,4,-2.454639392
05CGFD25,1.495318046,576.05,0,"(0.086,3.11]","(64.8,82.1]",3,4,-2.584597793
05CGFD26,3.278908633,934.86,3,"(0.086,3.11]","(82.1,243]",3,5,-2.45349135
05CGFD27,1.538249833,553.48,2,"(-2.07,0.086]","(82.1,243]",2,5,-2.55486637
05CGFD28,1.188637978,468.73,0,"(-2.07,0.086]","(82.1,243]",2,5,-2.594770435
05CGFD29,6.588478778,1252.67,0,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.276761304
05CGFD30,3.44127865,816.05,3,"(-2.07,0.086]","(53.6,64.8]",2,3,-2.373161639
05CGFD31,2.131753057,793.87,3,"(-2.07,0.086]","(53.6,64.8]",2,3,-2.569844731
05CGFD32,3.175745481,1431.7,2,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.65304193
05CGFD33,3.016886385,735.56,2,"(0.086,3.11]","(82.1,243]",3,5,-2.385274235
05CGFD47,0.458939803,221.02,2,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.681773116
05CGFE01,3.389089174,984.71,7,"(0.086,3.11]","(64.8,82.1]",3,4,-2.461728057
05CGFE02,6.035722002,1143.89,7,"(3.11,5.44]","(64.8,82.1]",4,4,-2.275357418
05CGFE03,1.833477709,703.81,4,"[-6.54,-2.07]","(64.8,82.1]",1,4,-2.583046953
05CGFE04,6.217037168,1280.84,5,"(-2.07,0.086]","(82.1,243]",2,5,-2.311798274
05CGFE05,5.317017023,885.31,1,"(5.44,9.2]","(82.1,243]",5,5,-2.218811158
05CGFE06,0.993251831,647.44,0,"(3.11,5.44]","(82.1,243]",4,5,-2.813473381
05CGFE07,1.660865097,964.13,25,"(0.086,3.11]","(82.1,243]",3,5,-2.763052453
05CGFE08,2.32859662,739.4,13,"(3.11,5.44]","(82.1,243]",4,5,-2.500415299
05CGFE09,7.471116566,1221.54,7,"(3.11,5.44]","(64.8,82.1]",4,4,-2.210857816
05CGFE10,1.467347593,892.25,1,"(0.086,3.11]","(82.1,243]",3,5,-2.783238747
05CGFE11,3.650999841,1053.44,2,"(0.086,3.11]","(64.8,82.1]",3,4,-2.458690204
05CGFE12,3.52837311,1043.39,29,"(0.086,3.11]","(82.1,243]",3,5,-2.469401048
05CGFE13,0.855953274,533.7,0,"(3.11,5.44]","(82.1,243]",4,5,-2.79415006
05CGFE14,3.578461451,790.87,1,"(3.11,5.44]","(82.1,243]",4,5,-2.342439241
05CGFE15,4.179682048,816.78,4,"(5.44,9.2]","(82.1,243]",5,5,-2.288733742
05CGFE16,1.105472287,671.74,3,"(0.086,3.11]","(82.1,243]",3,5,-2.78293805
05CGFE17,3.096859745,841.48,1,"(0.086,3.11]","(82.1,243]",3,5,-2.432520999
05CGFE18,3.894408023,829.97,31,"(0.086,3.11]","(82.1,243]",3,5,-2.326578339
05CGFE19,1.653224312,1009.17,0,"(3.11,5.44]","(82.1,243]",4,5,-2.784920503
05CGFE21,0.092814172,182.24,1,"(0.086,3.11]","(82.1,243]",3,5,-3.292808171
05CGFE22,1.274155533,574.09,2,"(5.44,9.2]","(82.1,243]",5,5,-2.652792578
05CGFE23,2.617910893,790.93,3,"(5.44,9.2]","(82.1,243]",5,5,-2.478743327
05CGFE24,1.219982068,637.49,2,"(5.44,9.2]","(82.1,243]",5,5,-2.717288012
05CGFE25,1.330621705,706.42,2,"(5.44,9.2]","(82.1,243]",5,5,-2.724189569
05CGFE26,0.798724943,413.35,0,"(5.44,9.2]","(82.1,243]",5,5,-2.713080687
05CGFE27,4.096475663,1548.52,7,"(5.44,9.2]","(82.1,243]",5,5,-2.576356029
05CGFE28,1.039188518,438.07,0,"(5.44,9.2]","(82.1,243]",5,5,-2.623817717
05CGFE29,1.146202649,644.35,5,"(5.44,9.2]","(82.1,243]",5,5,-2.749087192
05CGFE30,1.452592308,742.31,1,"(5.44,9.2]","(82.1,243]",5,5,-2.707590888
05CGFE31,4.956567416,918.03,9,"(5.44,9.2]","(82.1,243]",5,5,-2.265324689
05CGFE32,1.69451986,589.96,0,"(5.44,9.2]","(82.1,243]",5,5,-2.540526701
05CGFE33,1.770641606,486.33,2,"(5.44,9.2]","(82.1,243]",5,5,-2.437216321
05CGFE34,2.693521436,755.25,1,"(5.44,9.2]","(82.1,243]",5,5,-2.446218663
05CGFF03,1.867000726,733.95,2,"(5.44,9.2]","(82.1,243]",5,5,-2.593415835
05CGFF04,1.966745786,745.74,2,"(5.44,9.2]","(82.1,243]",5,5,-2.577692329
05CGFF06,0.202664247,134.72,0,"(-2.07,0.086]","(82.1,243]",2,5,-2.822001118
05CGFF07,3.401774401,1273.42,9,"(5.44,9.2]","(82.1,243]",5,5,-2.572104445
05CGFF08,1.058613357,546.86,2,"(5.44,9.2]","(82.1,243]",5,5,-2.712297265
05CGFF09,1.708500386,809.55,2,"(5.44,9.2]","(82.1,243]",5,5,-2.674711078
05CGFF10,2.531372893,845.07,1,"(5.44,9.2]","(82.1,243]",5,5,-2.522233696
05CGFF11,2.084368459,751.16,0,"(5.44,9.2]","(82.1,243]",5,5,-2.555551176
05CGFF12,1.346369858,630.85,1,"(5.44,9.2]","(82.1,243]",5,5,-2.669833859
05CGFF13,2.22367879,691.79,3,"(5.44,9.2]","(82.1,243]",5,5,-2.491503988
05CGFF14,1.894899799,856.28,4,"(5.44,9.2]","(82.1,243]",5,5,-2.654067416
05CGFF15,1.574514309,600.3,3,"(5.44,9.2]","(82.1,243]",5,5,-2.580081133
05CGFF16,2.059079946,731.16,1,"(3.11,5.44]","(82.1,243]",4,5,-2.549114437
05CGFF17,1.630619659,757,1,"(0.086,3.11]","(64.8,82.1]",3,4,-2.665806702
05CGFF18,1.340687333,857.61,2,"(5.44,9.2]","(64.8,82.1]",5,4,-2.805282874
05CGFF19,1.495778309,829.46,0,"(5.44,9.2]","(64.8,82.1]",5,4,-2.743144339
05CGFF20,1.239906826,770.18,3,"(5.44,9.2]","(64.8,82.1]",5,4,-2.792503455
05CGFF21,1.63928021,537.12,1,"(5.44,9.2]","(82.1,243]",5,5,-2.514090643
05CGFF23,1.346951766,555.15,2,"(3.11,5.44]","(82.1,243]",4,5,-2.614003298
05CGFF24,1.440067925,916.54,4,"(0.086,3.11]","(64.8,82.1]",3,4,-2.803085546
05CGFF25,1.294876972,641.17,2,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.693866719
05CGFF26,3.975837703,1239.08,3,"(5.44,9.2]","(53.6,64.8]",5,3,-2.492274937
05CGFF27,2.308613559,943.23,1,"(3.11,5.44]","(53.6,64.8]",4,3,-2.610202098
05CGFF28,2.41131627,903,1,"(5.44,9.2]","(53.6,64.8]",5,3,-2.572272309
05CGFF29,1.611028314,1013.2,2,"(3.11,5.44]","(53.6,64.8]",4,3,-2.797900913
05CGFF30,3.544177162,902.57,2,"(0.086,3.11]","(82.1,243]",3,5,-2.404256743
05CGFF31,1.086347004,609.47,0,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.748208965
05CGFF32,3.027886114,1089.86,3,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.555022926
05CGFF33,1.697163065,934.76,2,"(0.086,3.11]","(64.8,82.1]",3,4,-2.74018732
05CGFF34,4.172849407,863.61,2,"(3.11,5.44]","(64.8,82.1]",4,4,-2.313781411
05CGFG02,1.138622931,578.89,0,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.705361063
05CGFG03,0.776222036,339.74,2,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.640167324
05CGFG04,1.454332824,1257.48,2,"(-2.07,0.086]","[7.8,41.4]",2,1,-2.936334708
05CGFG05,2.503342813,1214.09,4,"(-2.07,0.086]","[7.8,41.4]",2,1,-2.684834155
05CGFG06,3.51653117,1175.54,3,"(3.11,5.44]","[7.8,41.4]",4,1,-2.522821837
05CGFG07,3.201105738,1149.68,1,"(0.086,3.11]","[7.8,41.4]",3,1,-2.554066044
05CGFG08,2.242303681,1105,3,"(-2.07,0.086]","[7.8,41.4]",2,1,-2.691785668
05CGFG09,4.568757537,971.29,3,"(3.11,5.44]","[7.8,41.4]",4,1,-2.325503151
05CGFG10,3.764029576,982.48,1,"(5.44,9.2]","[7.8,41.4]",5,1,-2.415003648
05CGFG11,2.174380326,1145.57,5,"(0.086,3.11]","[7.8,41.4]",3,1,-2.720861014
05CGFG12,7.571796572,1497.35,7,"(0.086,3.11]","[7.8,41.4]",3,1,-2.293922678
05CGFG13,4.154669556,1308.16,0,"(3.11,5.44]","[7.8,41.4]",4,1,-2.496742879
05CGFG14,0.791158901,646.17,1,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.911551004
05CGFG15,2.359942002,833.4,16,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.546720628
05CGFG16,2.048942989,1054.31,1,"(0.086,3.11]","[7.8,41.4]",3,1,-2.710593623
05CGFG17,5.233054237,1146.44,4,"(5.44,9.2]","[7.8,41.4]",5,1,-2.33860917
05CGFG18,1.657194082,805.86,3,"(-2.07,0.086]","[7.8,41.4]",2,1,-2.68599221
05CGFG19,2.350522001,1199.82,3,"(5.44,9.2]","[7.8,41.4]",5,1,-2.707100132
05CGFG20,4.200024338,1038.05,3,"(0.086,3.11]","[7.8,41.4]",3,1,-2.391205715
05CGFG21,2.164434145,1152.77,3,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.725582094
05CGFG22,0.94813325,620.96,2,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.815530625
05CGFG23,1.128551673,641.13,1,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.753659508
05CGFG24,1.335624156,650.04,5,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.686362562
05CGFG25,3.009719911,1009.11,3,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.524115189
05CGFG26,3.388018974,741.71,1,"(0.086,3.11]","(53.6,64.8]",3,3,-2.338299964
05CGFG27,0.948662856,675.63,2,"[-6.54,-2.07]","(53.6,64.8]",1,3,-2.8519868
05CGFG28,0.747054826,725.17,1,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.986639722
05CGFG29,1.568471917,801.36,1,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.707500052
05CGFG30,5.139878643,1468.09,5,"(-2.07,0.086]","(41.4,53.6]",2,2,-2.454276654
05CGFG31,1.874806492,1181.86,0,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.798920109
05CGFG32,3.028100528,1273.26,2,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.622712726
05CGFG33,3.418549385,1145.33,3,"(-2.07,0.086]","[7.8,41.4]",2,1,-2.52379057
05CGFG34,4.448023035,1509.32,4,"(0.086,3.11]","[7.8,41.4]",3,1,-2.529332527
05CGFG35,6.531439157,1618.4,24,"(0.086,3.11]","[7.8,41.4]",3,1,-2.392320739
05CGFG36,2.539203188,858.24,3,"(-2.07,0.086]","[7.8,41.4]",2,1,-2.527624482
05CGFG37,1.247481981,825.93,0,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.820252507
05CGFG38,2.240641834,1622.59,2,"[-6.54,-2.07]","(53.6,64.8]",1,3,-2.859236221
05CGFG39,1.244416875,917.55,1,"(-2.07,0.086]","[7.8,41.4]",2,1,-2.867074441
05CGFG40,1.656169778,1106.06,3,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.824023049
05CGFG41,0.935353938,569.73,2,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.783979521
05CGFG42,3.436931598,1458.55,4,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.626725852
05CGFH01,0.763293474,212.88,2,"(5.44,9.2]","(82.1,243]",5,5,-2.443883326
05CGFH02,0.241522356,234.44,0,"(5.44,9.2]","(82.1,243]",5,5,-2.986626731
05CGFH03,3.652863609,1078.78,2,"(5.44,9.2]","(82.1,243]",5,5,-2.468826367
05CGFH04,2.31576789,713.12,1,"(3.11,5.44]","(82.1,243]",4,5,-2.487054977
05CGFH05,1.943390399,704.38,2,"(3.11,5.44]","(82.1,243]",4,5,-2.558047085
05CGFH06,1.9457805,851.19,2,"(0.086,3.11]","(82.1,243]",3,5,-2.639938753
05CGFH07,1.393511917,857.77,4,"(3.11,5.44]","(82.1,243]",4,5,-2.788554048
05CGFH08,2.438841345,1169.74,2,"(0.086,3.11]","(82.1,243]",3,5,-2.679999368
05CGFH09,1.771043128,1051.79,2,"(0.086,3.11]","(82.1,243]",3,5,-2.772968003
05CGFH10,1.882906401,853.07,1,"(5.44,9.2]","(82.1,243]",5,5,-2.655196298
05CGFH11,3.333469923,1274.93,2,"(5.44,9.2]","(82.1,243]",5,5,-2.581452793
05CGFH12,8.867070392,2072.51,8,"(3.11,5.44]","(82.1,243]",4,5,-2.366854398
05CGFH13,4.996318992,1283.58,6,"(5.44,9.2]","(82.1,243]",5,5,-2.408078999
05CGFH14,2.22520864,978.45,0,"(5.44,9.2]","(64.8,82.1]",5,4,-2.642179095
05CGFH15,5.381922964,1247.18,10,"(5.44,9.2]","(82.1,243]",5,5,-2.363113506
05CGFH16,3.565033888,1261.17,7,"(5.44,9.2]","(82.1,243]",5,5,-2.547480581
05CGFH17,3.123053013,1185.92,2,"(0.086,3.11]","(82.1,243]",3,5,-2.578330839
05CGFH18,2.912881342,1063.64,1,"(3.11,5.44]","(82.1,243]",4,5,-2.561280878
05CGFH19,1.833590961,713.73,2,"(3.11,5.44]","(82.1,243]",4,5,-2.589114343
05CGFH20,2.976674534,1204.66,2,"(3.11,5.44]","(82.1,243]",4,5,-2.606058683
05CGFH21,3.410216028,917.32,3,"(0.086,3.11]","(64.8,82.1]",3,4,-2.428121435
05CGFH22,3.346384649,969.66,2,"(0.086,3.11]","(82.1,243]",3,5,-2.460542239
05CGFH23,2.516175063,773.02,1,"(-2.07,0.086]","(82.1,243]",2,5,-2.486033945
05CGFH24,2.567392936,1110.2,0,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.63490339
05CGFH25,2.924495148,957.4,1,"[-6.54,-2.07]","(64.8,82.1]",1,4,-2.513713882
05CGFH26,2.195195193,899.36,3,"(-2.07,0.086]","(82.1,243]",2,5,-2.611399085
05CGFH27,3.893412783,984.21,3,"(-2.07,0.086]","(82.1,243]",2,5,-2.401035901
05CGFH28,2.001958807,1090.5,0,"(-2.07,0.086]","(82.1,243]",2,5,-2.735372515
